m1_surv,m2_surv
0.21446,0.86948
0.21446,0.86948
0.21446,0.86948
0.21446,0.86948
0.21446,0.86948
0.21446,0.86948
0.21446,0.86948
0.21446,0.86948
0.21446,0.86948
0.21446,0.86948
0.21446,0.86948
0.21446,0.86948
0.21446,0.86948
0.21446,0.86948
0.21446,0.86948
0.21446,0.86948
0.21446,0.86895
0.21446,0.86895
0.21446,0.86895
0.21446,0.86895
0.21446,0.86843
0.21446,0.86843
0.21446,0.8679
0.21446,0.8679
0.21446,0.86738
0.21446,0.86738
0.21446,0.86738
0.21446,0.86738
0.21446,0.86738
0.21446,0.86685
0.21446,0.86685
0.21446,0.86685
0.21446,0.86685
0.21446,0.86685
0.21446,0.86685
0.21446,0.86685
0.21446,0.86685
0.21446,0.86685
0.21446,0.86685
0.21446,0.86685
0.21446,0.86685
0.21446,0.86685
0.21446,0.86685
0.21446,0.86685
0.21446,0.86685
0.21446,0.86685
0.21446,0.86685
0.21446,0.86685
0.21446,0.86685
0.21446,0.86685
0.21446,0.86685
0.21446,0.86685
0.21446,0.86632
0.21446,0.86632
0.21446,0.86632
0.21446,0.86632
0.21446,0.86632
0.21446,0.86632
0.21446,0.86632
0.21446,0.86632
0.21446,0.86632
0.21446,0.86632
0.21446,0.86632
0.21446,0.86579
0.21446,0.86579
0.21446,0.86579
0.21446,0.86579
0.21446,0.86579
0.21446,0.86579
0.19706,0.86525
0.19706,0.86525
0.19706,0.86525
0.19706,0.86525
0.19706,0.86525
0.19706,0.86525
0.19706,0.86525
0.19706,0.86525
0.19706,0.86471
0.19706,0.86471
0.19706,0.86471
0.19706,0.86471
0.19706,0.86471
0.19706,0.86471
0.19706,0.86471
0.19706,0.86471
0.19706,0.86471
0.19706,0.86471
0.19706,0.86417
0.19706,0.86417
0.19706,0.86417
0.19706,0.86363
0.19706,0.86363
0.19706,0.86363
0.19706,0.86363
0.19706,0.86363
0.19706,0.86363
0.19706,0.86363
0.19706,0.86199
0.19706,0.86199
0.19706,0.86199
0.19706,0.86199
0.19706,0.86199
0.19706,0.86199
0.19706,0.86199
0.19706,0.86199
0.19706,0.86199
0.19706,0.86199
0.19706,0.86199
0.19706,0.86199
0.19706,0.86199
0.19706,0.86199
0.19706,0.86199
0.19706,0.86199
0.19706,0.86199
0.19706,0.86199
0.19706,0.86199
0.19706,0.86199
0.19706,0.86199
0.19706,0.86199
0.19706,0.86199
0.19706,0.86144
0.19706,0.86144
0.19706,0.86144
0.19706,0.86144
0.19706,0.86144
0.19706,0.86144
0.19706,0.86144
0.19706,0.86144
0.19706,0.86144
0.19706,0.86144
0.19706,0.86144
0.19706,0.86144
0.19706,0.86144
0.19706,0.86144
0.19706,0.86087
0.19706,0.86087
0.19706,0.86031
0.19706,0.86031
0.19706,0.86031
0.19706,0.86031
0.19434,0.86031
0.19434,0.86031
0.19434,0.86031
0.19434,0.86031
0.19434,0.86031
0.19434,0.86031
0.19434,0.86031
0.19434,0.86031
0.19434,0.86031
0.19434,0.86031
0.19434,0.86031
